DATE,COLIRLTLT01STM
2015-10-01,8.25
2015-11-01,8.71
2015-12-01,8.88
2016-01-01,9.21
2016-02-01,9.19
2016-03-01,8.34
2016-04-01,8.2
2016-05-01,8.17
2016-06-01,7.6
2016-07-01,7.61
2016-08-01,7.52
2016-09-01,7.06
2016-10-01,7.47
2016-11-01,7.46
2016-12-01,7.24
2017-01-01,6.99
2017-02-01,7.12
2017-03-01,6.84
2017-04-01,6.47
2017-05-01,6.47
2017-06-01,6.75
2017-07-01,7.0
2017-08-01,6.95
2017-09-01,6.77
2017-10-01,6.86
2017-11-01,6.81
2017-12-01,6.77
2018-01-01,6.75
2018-02-01,6.9
2018-03-01,6.83
2018-04-01,6.67
2018-05-01,6.88
2018-06-01,6.93
2018-07-01,7.08
2018-08-01,7.12
2018-09-01,7.16
2018-10-01,7.5
2018-11-01,7.27
2018-12-01,7.02
2019-01-01,6.99
2019-02-01,6.98
2019-03-01,6.71
2019-04-01,6.94
2019-05-01,6.76
2019-06-01,6.22
2019-07-01,6.09
2019-08-01,6.11
2019-09-01,6.07
2019-10-01,6.1
2019-11-01,6.58
2019-12-01,6.42
2020-01-01,6.02
2020-02-01,6.22
2020-03-01,7.26
2020-04-01,7.2
2020-05-01,6.25
2020-06-01,6.65
2020-07-01,6.31
2020-08-01,6.21
2020-09-01,5.98
2020-10-01,6.21
2020-11-01,5.93
2020-12-01,5.76
2021-01-01,5.9
2021-02-01,6.44
2021-03-01,7.45
2021-04-01,7.46
2021-05-01,7.75
2021-06-01,7.58
2021-07-01,7.6
2021-08-01,7.6
2021-09-01,8.05
2021-10-01,8.4
2021-11-01,8.8
2021-12-01,8.46
2022-01-01,9.26
2022-02-01,9.37
2022-03-01,9.97
2022-04-01,10.54
2022-05-01,10.78
2022-06-01,11.61
2022-07-01,12.62
2022-08-01,12.21
2022-09-01,12.92
2022-10-01,13.93
2022-11-01,13.23
2022-12-01,13.23
2023-01-01,12.26
2023-02-01,13.43
2023-03-01,11.95
2023-04-01,11.89
2023-05-01,11.11
2023-06-01,10.15
2023-07-01,10.35
