DATE,IRLTLT01ZAM156N
1973-09-01,7.75
1973-10-01,7.75
1973-11-01,7.75
1973-12-01,8
1974-01-01,8.25
1974-02-01,8.25
1974-03-01,8.25
1974-04-01,8.25
1974-05-01,8.25
1974-06-01,8.5
1974-07-01,9.25
1974-08-01,9.75
1974-09-01,9.75
1974-10-01,9.75
1974-11-01,9.75
1974-12-01,9.5
1975-01-01,9.5
1975-02-01,9.5
1975-03-01,9.5
1975-04-01,9.5
1975-05-01,9.5
1975-06-01,9.5
1975-07-01,9.5
1975-08-01,10
1975-09-01,10
1975-10-01,10
1975-11-01,10
1975-12-01,10
1976-01-01,10.17
1976-02-01,10.02
1976-03-01,9.92
1976-04-01,9.99
1976-05-01,10.01
1976-06-01,10.04
1976-07-01,10.02
1976-08-01,10.5
1976-09-01,11.24
1976-10-01,11.23
1976-11-01,11.1
1976-12-01,11
1977-01-01,11.17
1977-02-01,11.11
1977-03-01,11.08
1977-04-01,11.26
1977-05-01,11.05
1977-06-01,11.1
1977-07-01,11.03
1977-08-01,11.11
1977-09-01,10.9
1977-10-01,10.9
1977-11-01,10.7
1977-12-01,10.69
1978-01-01,10.88
1978-02-01,10.8
1978-03-01,10.75
1978-04-01,10.67
1978-05-01,10.58
1978-06-01,10.57
1978-07-01,10.57
1978-08-01,10.34
1978-09-01,10.2
1978-10-01,9.89
1978-11-01,9.78
1978-12-01,9.72
1979-01-01,9.34
1979-02-01,9.07
1979-03-01,9.11
1979-04-01,9.1
1979-05-01,9.35
1979-06-01,9.35
1979-07-01,9.49
1979-08-01,9.33
1979-09-01,9.17
1979-10-01,9.15
1979-11-01,9.34
1979-12-01,9.32
1980-01-01,9.24
1980-02-01,9.26
1980-03-01,9.26
1980-04-01,9.41
1980-05-01,9.53
1980-06-01,9.54
1980-07-01,9.85
1980-08-01,10.08
1980-09-01,10.4
1980-10-01,11.11
1980-11-01,11.54
1980-12-01,11.81
1981-01-01,12.48
1981-02-01,12.73
1981-03-01,12.75
1981-04-01,12.69
1981-05-01,13.05
1981-06-01,13.03
1981-07-01,13.02
1981-08-01,13.1
1981-09-01,13.22
1981-10-01,13.21
1981-11-01,13.24
1981-12-01,13.33
1982-01-01,13.93
1982-02-01,14.2
1982-03-01,14.3
1982-04-01,14.22
1982-05-01,14.15
1982-06-01,14.49
1982-07-01,14.7
1982-08-01,14.09
1982-09-01,12.72
1982-10-01,12.19
1982-11-01,11.8
1982-12-01,11.31
1983-01-01,10.58
1983-02-01,11.4
1983-03-01,12.25
1983-04-01,11.99
1983-05-01,12.25
1983-06-01,13.12
1983-07-01,13.29
1983-08-01,13.4
1983-09-01,13.14
1983-10-01,13.29
1983-11-01,13.63
1983-12-01,13.64
1984-01-01,14.13
1984-02-01,13.8
1984-03-01,13.78
1984-04-01,14.46
1984-05-01,14.86
1984-06-01,14.72
1984-07-01,15.43
1984-08-01,16
1984-09-01,16.6
1984-10-01,16.47
1984-11-01,16.21
1984-12-01,16.26
1985-01-01,16.88
1985-02-01,17.42
1985-03-01,17.3
1985-04-01,16.56
1985-05-01,16.25
1985-06-01,15.48
1985-07-01,15.34
1985-08-01,16.15
1985-09-01,16.75
1985-10-01,17.34
1985-11-01,17.94
1985-12-01,18.09
1986-01-01,17.62
1986-02-01,17.18
1986-03-01,17.29
1986-04-01,17.36
1986-05-01,17.11
1986-06-01,17.38
1986-07-01,16.4
1986-08-01,14.89
1986-09-01,14.5
1986-10-01,15.76
1986-11-01,15.64
1986-12-01,15.26
1987-01-01,15.14
1987-02-01,15.38
1987-03-01,14.96
1987-04-01,15.18
1987-05-01,15.55
1987-06-01,15.6
1987-07-01,15.5
1987-08-01,15.09
1987-09-01,15.15
1987-10-01,15.24
1987-11-01,15.31
1987-12-01,15.46
1988-01-01,16.14
1988-02-01,16.53
1988-03-01,16.62
1988-04-01,16.45
1988-05-01,16.44
1988-06-01,16.13
1988-07-01,16.09
1988-08-01,16.08
1988-09-01,16.03
1988-10-01,16.47
1988-11-01,16.77
1988-12-01,16.71
1989-01-01,16.64
1989-02-01,16.64
1989-03-01,16.92
1989-04-01,17.22
1989-05-01,17.38
1989-06-01,17.24
1989-07-01,17.19
1989-08-01,17.04
1989-09-01,16.83
1989-10-01,16.94
1989-11-01,16.92
1989-12-01,15.85
1990-01-01,15.49
1990-02-01,15.61
1990-03-01,15.66
1990-04-01,16.16
1990-05-01,16.166
1990-06-01,16.67
1990-07-01,16.418
1990-08-01,16.269
1990-09-01,16.417
1990-10-01,16.56
1990-11-01,16.43
1990-12-01,15.96
1991-01-01,16
1991-02-01,15.58
1991-03-01,15.64
1991-04-01,15.83
1991-05-01,16.01
1991-06-01,16.31
1991-07-01,16.43
1991-08-01,16.79
1991-09-01,16.84
1991-10-01,17.21
1991-11-01,16.83
1991-12-01,16.66
1992-01-01,16.65
1992-02-01,16.86
1992-03-01,16.41
1992-04-01,16.26
1992-05-01,15.97
1992-06-01,15.98
1992-07-01,15.29
1992-08-01,14.38
1992-09-01,14.18
1992-10-01,13.86
1992-11-01,14.54
1992-12-01,14.9
1993-01-01,14.65
1993-02-01,14.36
1993-03-01,14.49
1993-04-01,15.03
1993-05-01,14.92
1993-06-01,14.68
1993-07-01,14.24
1993-08-01,13.85
1993-09-01,13.29
1993-10-01,13.07
1993-11-01,12.69
1993-12-01,12.34
1994-01-01,12.21
1994-02-01,12.8
1994-03-01,12.99
1994-04-01,13.24
1994-05-01,13.76
1994-06-01,14.46
1994-07-01,15.11
1994-08-01,15.87
1994-09-01,16.89
1994-10-01,16.91
1994-11-01,16.94
1994-12-01,16.8
1995-01-01,17.02
1995-02-01,16.82
1995-03-01,16.72
1995-04-01,16.82
1995-05-01,16.95
1995-06-01,16.78
1995-07-01,16.62
1995-08-01,15.96
1995-09-01,15.49
1995-10-01,15.15
1995-11-01,14.39
1995-12-01,14.56
1996-01-01,13.77
1996-02-01,14.1
1996-03-01,15.04
1996-04-01,15.78
1996-05-01,16.53
1996-06-01,15.78
1996-07-01,15.39
1996-08-01,15.82
1996-09-01,15.42
1996-10-01,15.8
1996-11-01,16.18
1996-12-01,16.19
1997-01-01,15.82
1997-02-01,15.03
1997-03-01,15.16
1997-04-01,15.24
1997-05-01,15.08
1997-06-01,14.72
1997-07-01,14.21
1997-08-01,14.24
1997-09-01,14.18
1997-10-01,14.05
1997-11-01,14.5
1997-12-01,14.14
1998-01-01,13.61
1998-02-01,13.49
1998-03-01,13.33
1998-04-01,12.92
1998-05-01,13.46
1998-06-01,14.6
1998-07-01,15.89
1998-08-01,16.95
1998-09-01,18.3
1998-10-01,16.51
1998-11-01,16.05
1998-12-01,16.36
1999-01-01,15.89
1999-02-01,14.88
1999-03-01,14.54
1999-04-01,14.58
1999-05-01,15.14
1999-06-01,14.93
1999-07-01,14.97
1999-08-01,15.28
1999-09-01,15.35
1999-10-01,15
1999-11-01,14.3
1999-12-01,13.96
2000-01-01,13.49
2000-02-01,13.5
2000-03-01,13.92
2000-04-01,14.27
2000-05-01,14.79
2000-06-01,14.33
2000-07-01,13.9
2000-08-01,13.52
2000-09-01,13.72
2000-10-01,13.72
2000-11-01,13.4
2000-12-01,12.88
2001-01-01,12.61
2001-02-01,11.97
2001-03-01,11.79
2001-04-01,12.17
2001-05-01,11.93
2001-06-01,11.32
2001-07-01,10.9
2001-08-01,10.75
2001-09-01,10.81
2001-10-01,10.73
2001-11-01,10.27
2001-12-01,11.63
2002-01-01,11.7213636363636
2002-02-01,11.9055
2002-03-01,12.6415789473684
2002-04-01,12.5109523809524
2002-05-01,11.6472727272727
2002-06-01,11.5963157894737
2002-07-01,11.125652173913
2002-08-01,11.0819047619048
2002-09-01,11.3535
2002-10-01,11.2452173913043
2002-11-01,10.8357142857143
2002-12-01,10.4415789473684
2003-01-01,10.2054545454545
2003-02-01,9.9425
2003-03-01,9.985
2003-04-01,9.94631578947368
2003-05-01,9.77095238095238
2003-06-01,9.271
2003-07-01,9.55521739130435
2003-08-01,9.57809523809524
2003-09-01,9.60047619047619
2003-10-01,9.13130434782609
2003-11-01,9.2655
2003-12-01,9.156
2004-01-01,9.17428571428571
2004-02-01,9.4045
2004-03-01,9.58318181818182
2004-04-01,9.85222222222222
2004-05-01,10.2595238095238
2004-06-01,10.3842857142857
2004-07-01,10.0631818181818
2004-08-01,9.7252380952381
2004-09-01,9.30476190476191
2004-10-01,9.18285714285714
2004-11-01,8.94090909090909
2004-12-01,8.30857142857143
2005-01-01,8.19761904761905
2005-02-01,7.8455
2005-03-01,8.2085
2005-04-01,8.4395
2005-05-01,8.38904761904762
2005-06-01,8.06238095238095
2005-07-01,8.08380952380952
2005-08-01,7.88409090909091
2005-09-01,8.05863636363636
2005-10-01,8.12809523809524
2005-11-01,7.93272727272727
2005-12-01,7.5745
2006-01-01,7.40571428571429
2006-02-01,7.283
2006-03-01,7.37095238095238
2006-04-01,7.45294117647059
2006-05-01,7.62272727272727
2006-06-01,8.19666666666667
2006-07-01,8.56476190476191
2006-08-01,8.62272727272727
2006-09-01,8.6515
2006-10-01,8.38318181818182
2006-11-01,7.86636363636364
2006-12-01,7.7978947368421
2007-01-01,7.63681818181818
2007-02-01,7.518
2007-03-01,7.59190476190476
2007-04-01,7.64222222222222
2007-05-01,7.59
2007-06-01,8.09095238095238
2007-07-01,8.33863636363636
2007-08-01,8.37954545454545
2007-09-01,8.43
2007-10-01,8.11739130434783
2007-11-01,8.18727272727273
2007-12-01,8.32882352941176
2008-01-01,8.34545454545455
2008-02-01,8.7
2008-03-01,9.16263157894737
2008-04-01,9.16380952380952
2008-05-01,9.508
2008-06-01,10.3465
2008-07-01,10.1230434782609
2008-08-01,9.19714285714286
2008-09-01,9.051
2008-10-01,9.17521739130435
2008-11-01,8.6065
2008-12-01,7.7135
2009-01-01,7.803
2009-02-01,8.2355
2009-03-01,8.38590909090909
2009-04-01,8.54777777777778
2009-05-01,8.7005
2009-06-01,8.87619047619048
2009-07-01,9.10652173913043
2009-08-01,8.7905
2009-09-01,8.702
2009-10-01,9.095
2009-11-01,9.01619047619048
2009-12-01,9.0352380952381
2010-01-01,9.227
2010-02-01,9.1145
2010-03-01,8.93727272727273
2010-04-01,8.75578947368421
2010-05-01,8.93523809523809
2010-06-01,8.9752380952381
2010-07-01,8.805
2010-08-01,8.18523809523809
2010-09-01,7.9152380952381
2010-10-01,8.02809523809524
2010-11-01,8.11590909090909
2010-12-01,8.39047619047619
2011-01-01,8.47619047619048
2011-02-01,8.7015
2011-03-01,8.94636363636364
2011-04-01,8.725
2011-05-01,8.56
2011-06-01,8.49904761904762
2011-07-01,8.54005714285714
2011-08-01,8.12363636363636
2011-09-01,8.22090909090909
2011-10-01,8.41
2011-11-01,8.45
2011-12-01,8.51631578947368
2012-01-01,8.43904761904762
2012-02-01,8.21761904761905
2012-03-01,8.36857142857143
2012-04-01,8.28944444444445
2012-05-01,8.288
2012-06-01,8.17666666666667
2012-07-01,7.555
2012-08-01,7.46545454545455
2012-09-01,7.39421052631579
2012-10-01,7.66608695652174
2012-11-01,7.63181818181818
2012-12-01,7.34166666666667
2013-01-01,7.25318181818182
2013-02-01,7.2795
2013-03-01,7.39736842105263
2013-04-01,6.99714285714286
2013-05-01,6.90363636363636
2013-06-01,7.95263157894737
2013-07-01,7.97086956521739
2013-08-01,8.3647619047619
2013-09-01,8.1695
2013-10-01,7.89478260869565
2013-11-01,8.18333333333333
2013-12-01,8.26842105263158
2014-01-01,8.40681818181818
2014-02-01,8.6635
2014-03-01,8.52
2014-04-01,8.41526315789474
2014-05-01,8.16
2014-06-01,8.331
2014-07-01,8.25565217391304
2014-08-01,8.23047619047619
2014-09-01,8.15285714285714
2014-10-01,8.06217391304348
2014-11-01,7.846
2014-12-01,7.8825
2015-01-01,7.4647619047619
2015-02-01,7.49
2015-03-01,7.80818181818182
2015-04-01,7.82315789473684
2015-05-01,8.0725
2015-06-01,8.32666666666667
2015-07-01,8.18217391304348
2015-08-01,8.2635
2015-09-01,8.46047619047619
2015-10-01,8.27363636363636
2015-11-01,8.49095238095238
2015-12-01,9.25380952380952
2016-01-01,9.6315
2016-02-01,9.22190476190476
2016-03-01,9.266
2016-04-01,9.067
2016-05-01,9.28904761904762
2016-06-01,9.06285714285714
2016-07-01,8.72904761904762
2016-08-01,8.63333333333333
2016-09-01,8.675
2016-10-01,8.76809523809524
2016-11-01,8.90409090909091
2016-12-01,8.95421052631579
2017-01-01,8.76523809523809
2017-02-01,8.7525
2017-03-01,8.61590909090909
2017-04-01,8.83117647058824
2017-05-01,8.65090909090909
2017-06-01,9.02095238095238
2017-07-01,9.24095238095238
2017-08-01,9.11727272727273
2017-09-01,9.025
2017-10-01,9.35772727272727
2017-11-01,9.77090909090909
2017-12-01,9.49947368421053
2018-01-01,9.076
2018-02-01,8.746
2018-03-01,8.497
2018-04-01,8.48
2018-05-01,8.82681818181818
2018-06-01,9.29714285714286
2018-07-01,9.09181818181818
2018-08-01,9.28090909090909
2018-09-01,9.52631578947368
2018-10-01,9.62391304347826
2018-11-01,9.55
2018-12-01,9.535
2019-01-01,9.29636363636364
2019-02-01,9.261
2019-03-01,9.2375
2019-04-01,9.063
2019-05-01,9.10238095238095
2019-06-01,9.02631578947368
2019-07-01,8.78031304347826
2019-08-01,9.03095238095238
2019-09-01,8.8935
2019-10-01,8.92739130434783
2019-11-01,9.13428571428572
2019-12-01,9.11789473684211
2020-01-01,9.01681818181818
2020-02-01,8.935
2020-03-01,10.8520090909091
2020-04-01,11.2326315789474
2020-05-01,10.074
2020-06-01,9.95809523809524
2020-07-01,10.2652173913043
2020-08-01,10.1865
2020-09-01,10.2157142857143
2020-10-01,10.3886363636364
2020-11-01,9.9652380952381
2020-12-01,9.78904761904762
2021-01-01,9.7115
2021-02-01,9.5045
2021-03-01,10.0877272727273
2021-04-01,10.0289473684211
2021-05-01,9.81666666666667
2021-06-01,9.52666666666667
2021-07-01,9.62363636363636
2021-08-01,9.56761904761905
2021-09-01,9.62428571428571
2021-10-01,10.0647619047619
2021-11-01,10.02
2021-12-01,9.90047619047619
2022-01-01,9.83
2022-02-01,9.6515
2022-03-01,10.0963636363636
2022-04-01,10.1116666666667
2022-05-01,10.3228571428571
2022-06-01,10.9352380952381
2022-07-01,11.4233333333333
2022-08-01,10.9240909090909
2022-09-01,11.2490909090909
2022-10-01,11.6304761904762
2022-11-01,11.2795454545455
2022-12-01,11.3836842105263
2023-01-01,10.9728571428571
2023-02-01,11.046
2023-03-01,11.1940909090909
2023-04-01,11.2588235294118
2023-05-01,11.9409090909091
2023-06-01,11.9395238095238
2023-07-01,11.7242857142857
2023-08-01,11.7159090909091
