DATE,IRLTLT01PLM156N
2001-01-01,10.43
2001-02-01,10.23
2001-03-01,10.62
2001-04-01,10.61
2001-05-01,11.26
2001-06-01,11.66
2001-07-01,11.79
2001-08-01,11.86
2001-09-01,11.49
2001-10-01,10.31
2001-11-01,9.04
2001-12-01,8.88
2002-01-01,8.26
2002-02-01,8.33
2002-03-01,8.33
2002-04-01,8.21
2002-05-01,8.02
2002-06-01,7.55
2002-07-01,7.59
2002-08-01,7.26
2002-09-01,6.78
2002-10-01,6.26
2002-11-01,5.95
2002-12-01,5.73
2003-01-01,5.66
2003-02-01,5.66
2003-03-01,5.52
2003-04-01,5.41
2003-05-01,5.12
2003-06-01,5.03
2003-07-01,5.37
2003-08-01,5.61
2003-09-01,5.93
2003-10-01,6.36
2003-11-01,6.9
2003-12-01,6.76
2004-01-01,6.67
2004-02-01,6.82
2004-03-01,6.65
2004-04-01,7.02
2004-05-01,7.32
2004-06-01,7.27
2004-07-01,7.44
2004-08-01,7.36
2004-09-01,6.96
2004-10-01,6.8
2004-11-01,6.45
2004-12-01,6
2005-01-01,5.97
2005-02-01,5.73
2005-03-01,5.55
2005-04-01,5.49
2005-05-01,5.35
2005-06-01,4.91
2005-07-01,4.72
2005-08-01,4.88
2005-09-01,4.57
2005-10-01,4.91
2005-11-01,5.38
2005-12-01,5.16
2006-01-01,4.95
2006-02-01,4.79
2006-03-01,4.79
2006-04-01,5.03
2006-05-01,5.27
2006-06-01,5.55
2006-07-01,5.56
2006-08-01,5.62
2006-09-01,5.48
2006-10-01,5.4
2006-11-01,5.2
2006-12-01,5.14
2007-01-01,5.17
2007-02-01,5.19
2007-03-01,5.19
2007-04-01,5.28
2007-05-01,5.29
2007-06-01,5.52
2007-07-01,5.6
2007-08-01,5.68
2007-09-01,5.69
2007-10-01,5.64
2007-11-01,5.702
2007-12-01,5.86
2008-01-01,5.81
2008-02-01,5.82
2008-03-01,5.99
2008-04-01,5.99
2008-05-01,6.1
2008-06-01,6.42
2008-07-01,6.45
2008-08-01,6.11
2008-09-01,5.89
2008-10-01,6.35
2008-11-01,6.23
2008-12-01,5.7
2009-01-01,5.46
2009-02-01,5.97
2009-03-01,6.223181818
2009-04-01,6.19
2009-05-01,6.314
2009-06-01,6.34
2009-07-01,6.19
2009-08-01,6.08
2009-09-01,6.17
2009-10-01,6.15
2009-11-01,6.14
2009-12-01,6.22
2010-01-01,6.13
2010-02-01,6.09
2010-03-01,5.72
2010-04-01,5.57
2010-05-01,5.72
2010-06-01,5.87
2010-07-01,5.84
2010-08-01,5.62
2010-09-01,5.49
2010-10-01,5.53
2010-11-01,5.82
2010-12-01,5.98
2011-01-01,6.26
2011-02-01,6.26
2011-03-01,6.27
2011-04-01,6.14
2011-05-01,6.06
2011-06-01,5.88
2011-07-01,5.81
2011-08-01,5.7
2011-09-01,5.74
2011-10-01,5.71
2011-11-01,5.797
2011-12-01,5.84
2012-01-01,5.68
2012-02-01,5.4557
2012-03-01,5.37
2012-04-01,5.4857
2012-05-01,5.41
2012-06-01,5.24
2012-07-01,4.99
2012-08-01,4.88
2012-09-01,4.85
2012-10-01,4.57
2012-11-01,4.18
2012-12-01,3.88
2013-01-01,3.91
2013-02-01,3.99
2013-03-01,3.93
2013-04-01,3.4995
2013-05-01,3.28
2013-06-01,3.95
2013-07-01,3.97
2013-08-01,4.303333333
2013-09-01,4.49
2013-10-01,4.28
2013-11-01,4.38
2013-12-01,4.416666667
2014-01-01,4.42
2014-02-01,4.47
2014-03-01,4.25
2014-04-01,4.1
2014-05-01,3.80047619
2014-06-01,3.54
2014-07-01,3.34
2014-08-01,3.36
2014-09-01,3.1009
2014-10-01,2.72
2014-11-01,2.54
2014-12-01,2.553157895
2015-01-01,2.211
2015-02-01,2.196
2015-03-01,2.325454545
2015-04-01,2.3675
2015-05-01,2.82
2015-06-01,3.19
2015-07-01,3.16
2015-08-01,2.881904762
2015-09-01,2.910909091
2015-10-01,2.660909091
2015-11-01,2.726
2015-12-01,2.957
2016-01-01,2.996842105
2016-02-01,3.03
2016-03-01,2.89
2016-04-01,2.952857143
2016-05-01,3.04
2016-06-01,3.11
2016-07-01,2.888571429
2016-08-01,2.71
2016-09-01,2.85
2016-10-01,3.01
2016-11-01,3.41
2016-12-01,3.54
2017-01-01,3.68
2017-02-01,3.81
2017-03-01,3.66
2017-04-01,3.42
2017-05-01,3.35
2017-06-01,3.19
2017-07-01,3.3
2017-08-01,3.33
2017-09-01,3.26
2017-10-01,3.38
2017-11-01,3.39
2017-12-01,3.27
2018-01-01,3.32
2018-02-01,3.39
2018-03-01,3.27
2018-04-01,3.06
2018-05-01,3.23
2018-06-01,3.21
2018-07-01,3.17
2018-08-01,3.14
2018-09-01,3.24
2018-10-01,3.22
2018-11-01,3.19
2018-12-01,2.94
2019-01-01,2.78
2019-02-01,2.69
2019-03-01,2.75
2019-04-01,2.76
2019-05-01,2.72
2019-06-01,2.35
2019-07-01,2.13
2019-08-01,1.93
2019-09-01,2.02
2019-10-01,1.96
2019-11-01,2.05
2019-12-01,2.03
2020-01-01,2.23
2020-02-01,2.09
2020-03-01,1.8
2020-04-01,1.46
2020-05-01,1.35
2020-06-01,1.31
2020-07-01,1.33
2020-08-01,1.32
2020-09-01,1.35
2020-10-01,1.26
2020-11-01,1.2
2020-12-01,1.29
2021-01-01,1.19
2021-02-01,1.31
2021-03-01,1.52
2021-04-01,1.55
2021-05-01,1.82
2021-06-01,1.78
2021-07-01,1.61
2021-08-01,1.6
2021-09-01,1.87
2021-10-01,2.63
2021-11-01,3.12
2021-12-01,3.33
2022-01-01,4.0
2022-02-01,3.95
2022-03-01,4.83
2022-04-01,5.96
2022-05-01,6.64
2022-06-01,7.14
2022-07-01,6.37
2022-08-01,5.8
2022-09-01,6.28
2022-10-01,7.82
2022-11-01,7.24
2022-12-01,6.61
2023-01-01,6.02
2023-02-01,6.18
2023-03-01,6.14
2023-04-01,6.07
2023-05-01,5.93
2023-06-01,5.91
2023-07-01,5.56
2023-08-01,5.59
